OrdNo,equipment_description,Carrier_Name,Created_Date,Route,LTDeliv
VE589972992022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,0
VE589973062022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,0
VE589972982022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,0
VE589972592022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,0
VE589972872022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,0
VE591974012022,TRAILER_CONTAINER40,RJT,2022-02-16,JAWA TENGAH-JAWA TENGAH,7
VE589494342022,TRAILER_CONTAINER40,PAD,2022-01-19,JAWA TENGAH-JAWA TENGAH,6
VE591973962022,TRAILER_CONTAINER40,PAD,2022-02-16,JAWA TENGAH-JAWA TENGAH,5
VE596741442022,TRAILER_CONTAINER40,BTS,2022-04-11,JAWA TENGAH-JAWA TENGAH,1
VE591714142022,TRAILER_CONTAINER40,PAD,2022-02-14,JAWA TENGAH-JAWA TENGAH,0
VE591714082022,TRAILER_CONTAINER40,PAD,2022-02-14,JAWA TENGAH-JAWA TENGAH,0
VE591714072022,TRAILER_CONTAINER40,PAD,2022-02-14,JAWA TENGAH-JAWA TENGAH,0
VE591829802022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,1
VE591829112022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,1
VE593989972022,TRAILER_CONTAINER40,PAD,2022-03-10,JAWA TENGAH-JAWA TENGAH,5
VE594113912022,TRAILER_CONTAINER40,PAD,2022-03-11,JAWA TENGAH-JAWA TENGAH,4
VE593989962022,TRAILER_CONTAINER40,PAD,2022-03-10,JAWA TENGAH-JAWA TENGAH,5
VE593989952022,TRAILER_CONTAINER40,PAD,2022-03-10,JAWA TENGAH-JAWA TENGAH,5
VE596741452022,TRAILER_CONTAINER40,BTS,2022-04-11,JAWA TENGAH-JAWA TENGAH,1
VE590218252022,TRAILER_CONTAINER40,PAD,2022-01-27,JAWA TENGAH-JAWA TENGAH,1
VE594114032022,TRAILER_CONTAINER40,PAD,2022-03-11,JAWA TENGAH-JAWA TENGAH,4
VE594113992022,TRAILER_CONTAINER40,PAD,2022-03-11,JAWA TENGAH-JAWA TENGAH,4
VE594113952022,TRAILER_CONTAINER40,RJT,2022-03-11,JAWA TENGAH-JAWA TENGAH,3
VE594113972022,TRAILER_CONTAINER40,RJT,2022-03-11,JAWA TENGAH-JAWA TENGAH,3
VE594113942022,TRAILER_CONTAINER40,BTS,2022-03-11,JAWA TENGAH-JAWA TENGAH,4
VE591348512022,TRAILER_CONTAINER40,PAD,2022-02-09,JAWA TENGAH-JAWA TENGAH,4
VE591348502022,TRAILER_CONTAINER40,PAD,2022-02-09,JAWA TENGAH-JAWA TENGAH,4
VE591348522022,TRAILER_CONTAINER40,PAD,2022-02-09,JAWA TENGAH-JAWA TENGAH,4
VE591348492022,TRAILER_CONTAINER40,PAD,2022-02-09,JAWA TENGAH-JAWA TENGAH,4
VE594114052022,TRAILER_CONTAINER40,PAD,2022-03-11,JAWA TENGAH-JAWA TENGAH,4
VE591483992022,TRAILER_CONTAINER40,PAD,2022-02-10,JAWA TENGAH-JAWA TENGAH,3
VE591483932022,TRAILER_CONTAINER40,PAD,2022-02-10,JAWA TENGAH-JAWA TENGAH,3
VE591484012022,TRAILER_CONTAINER40,PAD,2022-02-10,JAWA TENGAH-JAWA TENGAH,3
VE594114042022,TRAILER_CONTAINER40,PAD,2022-03-11,JAWA TENGAH-JAWA TENGAH,5
VE594114002022,TRAILER_CONTAINER40,RJT,2022-03-11,JAWA TENGAH-JAWA TENGAH,6
VE591088652022,TRAILER_CONTAINER40,RJT,2022-02-07,JAWA TENGAH-JAWA BARAT,3
VE591088622022,TRAILER_CONTAINER40,RJT,2022-02-07,JAWA TENGAH-JAWA BARAT,3
VE589616642022,TRAILER_CONTAINER40,PAD,2022-01-20,JAWA TENGAH-JAWA TENGAH,1
VE589616652022,TRAILER_CONTAINER40,PAD,2022-01-20,JAWA TENGAH-JAWA TENGAH,1
VE589616632022,TRAILER_CONTAINER40,PAD,2022-01-20,JAWA TENGAH-JAWA TENGAH,1
VE591195002022,TRAILER_CONTAINER40,PAD,2022-02-08,JAWA TENGAH-JAWA TENGAH,2
VE591973982022,TRAILER_CONTAINER40,PAD,2022-02-16,JAWA TENGAH-JAWA TENGAH,5
VE591973972022,TRAILER_CONTAINER40,PAD,2022-02-16,JAWA TENGAH-JAWA TENGAH,5
VE591974002022,TRAILER_CONTAINER40,PAD,2022-02-16,JAWA TENGAH-JAWA TENGAH,5
VE591714152022,TRAILER_CONTAINER40,PAD,2022-02-14,JAWA TENGAH-JAWA TENGAH,0
VE589616622022,TRAILER_CONTAINER40,PAD,2022-01-20,JAWA TENGAH-JAWA TENGAH,5
VE589616892022,TRAILER_CONTAINER40,RJT,2022-01-20,JAWA TENGAH-JAWA TENGAH,5
VE589616862022,TRAILER_CONTAINER40,RJT,2022-01-20,JAWA TENGAH-JAWA TENGAH,5
VE593989822022,TRAILER_CONTAINER40,PAD,2022-03-10,JAWA TENGAH-JAWA TENGAH,0
VE590848632022,TRAILER_CONTAINER40,PAD,2022-02-03,JAWA TENGAH-JAWA TENGAH,4
VE590848592022,TRAILER_CONTAINER40,PAD,2022-02-03,JAWA TENGAH-JAWA TENGAH,4
VE593989912022,TRAILER_CONTAINER40,PAD,2022-03-10,JAWA TENGAH-JAWA TENGAH,5
VE593989872022,TRAILER_CONTAINER40,PAD,2022-03-10,JAWA TENGAH-JAWA TENGAH,5
VE593073722022,TRAILER_CONTAINER40,PAD,2022-03-01,JAWA TENGAH-JAWA TENGAH,1
VE593073742022,TRAILER_CONTAINER40,PAD,2022-03-01,JAWA TENGAH-JAWA TENGAH,1
VE593073732022,TRAILER_CONTAINER40,PAD,2022-03-01,JAWA TENGAH-JAWA TENGAH,1
VE591830132022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,1
VE591830522022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,1
VE591829352022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,1
VE594113782022,TRAILER_CONTAINER40,MSM,2022-03-11,JAWA TENGAH-JAWA TENGAH,3
VE594113772022,TRAILER_CONTAINER40,MSM,2022-03-11,JAWA TENGAH-JAWA TENGAH,3
VE591721552022,TRAILER_CONTAINER40,BTS,2022-02-14,JAWA TENGAH-JAWA TENGAH,1
VE592599432022,TRAILER_CONTAINER40,BTS,2022-02-23,JAWA TENGAH-JAWA TENGAH,1
VE591604232022,TRAILER_CONTAINER40,MSM,2022-02-11,JAWA TENGAH-JAWA TENGAH,3
VE593719072022,TRAILER_CONTAINER40,PAD,2022-03-08,JAWA TENGAH-JAWA TENGAH,7
VE593719052022,TRAILER_CONTAINER40,PAD,2022-03-08,JAWA TENGAH-JAWA TENGAH,7
VE594340192022,TRAILER_CONTAINER40,PAD,2022-03-15,JAWA TENGAH-JAWA TENGAH,6
VE588765372022,TRAILER_CONTAINER40,BTS,2022-01-11,JAWA TENGAH-JAWA BARAT,2
VE588765442022,TRAILER_CONTAINER40,BTS,2022-01-11,JAWA TENGAH-JAWA BARAT,2
VE589972812022,TRAILER_CONTAINER40,BTS,2022-01-25,JAWA TENGAH-JAWA BARAT,2
VE590378272022,TRAILER_CONTAINER40,BTS,2022-01-28,JAWA TENGAH-JAWA BARAT,4
VE590377332022,TRAILER_CONTAINER40,BTS,2022-01-28,JAWA TENGAH-JAWA BARAT,4
VE589972952022,TRAILER_CONTAINER40,BTS,2022-01-25,JAWA TENGAH-JAWA BARAT,2
VE591714102022,TRAILER_CONTAINER40,BTS,2022-02-14,JAWA TENGAH-JAWA BARAT,1
VE591714052022,TRAILER_CONTAINER40,BTS,2022-02-14,JAWA TENGAH-JAWA BARAT,1
VE594242582022,TRAILER_CONTAINER40,BTS,2022-03-14,JAWA TENGAH-JAWA BARAT,3
VE594242502022,TRAILER_CONTAINER40,BTS,2022-03-14,JAWA TENGAH-JAWA BARAT,3
VE591015192022,TRAILER_CONTAINER40,PAD,2022-02-04,JAWA TENGAH-JAWA TIMUR,3
VE591015172022,TRAILER_CONTAINER40,PAD,2022-02-04,JAWA TENGAH-JAWA TIMUR,3
VE591015152022,TRAILER_CONTAINER40,PAD,2022-02-04,JAWA TENGAH-JAWA TIMUR,3
VE591012512022,TRAILER_CONTAINER40,PAD,2022-02-04,JAWA TENGAH-JAWA TIMUR,3
VE589974512022,TRAILER_CONTAINER40,PKA,2022-01-25,JAWA TENGAH-JAWA TIMUR,6
VE589974432022,TRAILER_CONTAINER40,PKA,2022-01-25,JAWA TENGAH-JAWA TIMUR,5
VE589974402022,TRAILER_CONTAINER40,PKA,2022-01-25,JAWA TENGAH-JAWA TIMUR,6
VE592346212022,TRAILER_CONTAINER40,PAD,2022-02-21,JAWA TENGAH-JAWA TIMUR,2
VE589974522022,TRAILER_CONTAINER40,PKA,2022-01-25,JAWA TENGAH-JAWA TIMUR,6
VE592346272022,TRAILER_CONTAINER40,PAD,2022-02-21,JAWA TENGAH-JAWA TIMUR,8
VE592449912022,TRAILER_CONTAINER40,PAD,2022-02-22,JAWA TENGAH-JAWA TIMUR,1
VE592449992022,TRAILER_CONTAINER40,PAD,2022-02-22,JAWA TENGAH-JAWA TIMUR,1
VE594616572022,TRAILER_CONTAINER40,PAD,2022-03-17,JAWA TENGAH-JAWA TIMUR,1
VE594616512022,TRAILER_CONTAINER40,PAD,2022-03-17,JAWA TENGAH-JAWA TIMUR,1
VE593227402022,TRAILER_CONTAINER40,PAD,2022-03-02,JAWA TENGAH-JAWA TIMUR,6
VE593227412022,TRAILER_CONTAINER40,PAD,2022-03-02,JAWA TENGAH-JAWA TIMUR,6
VE593227432022,TRAILER_CONTAINER40,PAD,2022-03-02,JAWA TENGAH-JAWA TIMUR,6
VE593227422022,TRAILER_CONTAINER40,PAD,2022-03-02,JAWA TENGAH-JAWA TIMUR,6
VE594726162022,TRAILER_CONTAINER40,PAD,2022-03-18,JAWA TENGAH-JAWA TIMUR,7
VE594726152022,TRAILER_CONTAINER40,PAD,2022-03-18,JAWA TENGAH-JAWA TIMUR,7
VE591001562022,TRAILER40_LOSSBAK,PAD,2022-02-04,JAWA TENGAH-BANTEN,3
VE591001762022,TRAILER40_LOSSBAK,PAD,2022-02-04,JAWA TENGAH-BANTEN,3
VE589347622022,TRAILER40_LOSSBAK,PAD,2022-01-18,JAWA TENGAH-BANTEN,10
VE591601852022,TRAILER_CONTAINER40,MSM,2022-02-11,JAWA TENGAH-BANTEN,3
VE595869552022,TRAILER40_LOSSBAK,PAD,2022-03-31,JAWA TENGAH-BANTEN,11
VE589240312022,TRAILER40_LOSSBAK,PAD,2022-01-17,JAWA TENGAH-BANTEN,8
VE589240302022,TRAILER40_LOSSBAK,PAD,2022-01-17,JAWA TENGAH-BANTEN,8
VE589240292022,TRAILER40_LOSSBAK,PAD,2022-01-17,JAWA TENGAH-BANTEN,8
VE591717682022,TRAILER_CONTAINER40,PCP,2022-02-14,JAWA TENGAH-BANTEN,1
VE594734102022,TRAILER40_LOSSBAK,PAD,2022-03-18,JAWA TENGAH-BANTEN,3
VE594734092022,TRAILER40_LOSSBAK,PAD,2022-03-18,JAWA TENGAH-BANTEN,3
VE594734082022,TRAILER40_LOSSBAK,PAD,2022-03-18,JAWA TENGAH-BANTEN,3
VE595869522022,TRAILER40_LOSSBAK,PAD,2022-03-31,JAWA TENGAH-BANTEN,5
VE595869532022,TRAILER40_LOSSBAK,PAD,2022-03-31,JAWA TENGAH-BANTEN,5
VE591195132022,TRAILER_CONTAINER40,PAD,2022-02-08,JAWA TENGAH-JAWA TIMUR,5
VE593875482022,TRAILER_CONTAINER40,PAD,2022-03-09,JAWA TENGAH-JAWA TIMUR,6
VE591714132022,TRAILER_CONTAINER40,PAD,2022-02-14,JAWA TENGAH-JAWA TIMUR,2
VE595618362022,TRAILER_CONTAINER40,PAD,2022-03-29,JAWA TENGAH-JAWA TIMUR,6
VE594349612022,TRAILER_CONTAINER40,BTS,2022-03-15,JAWA TENGAH-JAWA TENGAH,2
VE592098582022,TRAILER_CONTAINER40,PAD,2022-02-17,JAWA TENGAH-JAWA TENGAH,5
VE592098552022,TRAILER_CONTAINER40,PAD,2022-02-17,JAWA TENGAH-JAWA TENGAH,5
VE592098562022,TRAILER_CONTAINER40,PAD,2022-02-17,JAWA TENGAH-JAWA TENGAH,5
VE594340222022,TRAILER_CONTAINER40,BTS,2022-03-15,JAWA TENGAH-JAWA TENGAH,2
VE592098532022,TRAILER_CONTAINER40,RJT,2022-02-17,JAWA TENGAH-JAWA TENGAH,6
VE592450052022,TRAILER_CONTAINER40,RJT,2022-02-22,JAWA TENGAH-JAWA TENGAH,1
VE594242622022,TRAILER_CONTAINER40,BTS,2022-03-14,JAWA TENGAH-JAWA TENGAH,1
VE591714122022,TRAILER_CONTAINER40,RJT,2022-02-14,JAWA TENGAH-JAWA TENGAH,9
VE591721562022,TRAILER_CONTAINER40,PKA,2022-02-14,JAWA TENGAH-JAWA TENGAH,1
VE591483972022,TRAILER_CONTAINER40,PAD,2022-02-10,JAWA TENGAH-JAWA TENGAH,3
VE591483952022,TRAILER_CONTAINER40,PAD,2022-02-10,JAWA TENGAH-JAWA TENGAH,3
VE591195172022,TRAILER_CONTAINER40,PAD,2022-02-08,JAWA TENGAH-JAWA TENGAH,5
VE591195162022,TRAILER_CONTAINER40,PAD,2022-02-08,JAWA TENGAH-JAWA TENGAH,5
VE594340202022,TRAILER_CONTAINER40,RJT,2022-03-15,JAWA TENGAH-JAWA TENGAH,2
VE594616542022,TRAILER_CONTAINER40,RJT,2022-03-17,JAWA TENGAH-JAWA TENGAH,4
VE592346382022,TRAILER_CONTAINER40,PAD,2022-02-21,JAWA TENGAH-JAWA TENGAH,0
VE588362202022,TRAILER_CONTAINER40,RJT,2022-01-05,JAWA TENGAH-JAWA TENGAH,5
VE588362152022,TRAILER_CONTAINER40,RJT,2022-01-05,JAWA TENGAH-JAWA TENGAH,5
VE592346372022,TRAILER_CONTAINER40,PAD,2022-02-21,JAWA TENGAH-JAWA TENGAH,0
VE592223272022,TRAILER_CONTAINER40,PAD,2022-02-18,JAWA TENGAH-JAWA TENGAH,4
VE592223262022,TRAILER_CONTAINER40,PAD,2022-02-18,JAWA TENGAH-JAWA TENGAH,4
VE592223252022,TRAILER_CONTAINER40,PAD,2022-02-18,JAWA TENGAH-JAWA TENGAH,4
VE594616452022,TRAILER_CONTAINER40,RJT,2022-03-17,JAWA TENGAH-JAWA TENGAH,4
VE594616562022,TRAILER_CONTAINER40,PAD,2022-03-17,JAWA TENGAH-JAWA TENGAH,1
VE594616532022,TRAILER_CONTAINER40,PAD,2022-03-17,JAWA TENGAH-JAWA TENGAH,1
VE595474272022,TRAILER_CONTAINER40,PAD,2022-03-28,JAWA TENGAH-JAWA TENGAH,0
VE596741432022,TRAILER_CONTAINER40,PAD,2022-04-11,JAWA TENGAH-JAWA TENGAH,0
VE588362102022,TRAILER_CONTAINER40,RJT,2022-01-05,JAWA TENGAH-JAWA TENGAH,5
VE588362272022,TRAILER_CONTAINER40,PAD,2022-01-05,JAWA TENGAH-JAWA TENGAH,4
VE588362582022,TRAILER_CONTAINER40,PAD,2022-01-05,JAWA TENGAH-JAWA TENGAH,4
VE588362252022,TRAILER_CONTAINER40,PAD,2022-01-05,JAWA TENGAH-JAWA TENGAH,4
VE594113862022,TRAILER_CONTAINER40,PAD,2022-03-11,JAWA TENGAH-JAWA TENGAH,4
VE594340162022,TRAILER_CONTAINER40,PAD,2022-03-15,JAWA TENGAH-JAWA TENGAH,3
VE593875452022,TRAILER_CONTAINER40,PAD,2022-03-09,JAWA TENGAH-JAWA TENGAH,6
VE592847662022,TRAILER_CONTAINER40,PAD,2022-02-25,JAWA TENGAH-JAWA TENGAH,5
VE592847652022,TRAILER_CONTAINER40,PAD,2022-02-25,JAWA TENGAH-JAWA TENGAH,5
VE593875422022,TRAILER_CONTAINER40,PAD,2022-03-09,JAWA TENGAH-JAWA TENGAH,6
VE592847682022,TRAILER_CONTAINER40,PAD,2022-02-25,JAWA TENGAH-JAWA TENGAH,5
VE592847672022,TRAILER_CONTAINER40,PAD,2022-02-25,JAWA TENGAH-JAWA TENGAH,5
VE594113842022,TRAILER_CONTAINER40,RJT,2022-03-11,JAWA TENGAH-JAWA TENGAH,3
VE593989762022,TRAILER_CONTAINER40,BTS,2022-03-10,JAWA TENGAH-JAWA TENGAH,5
VE593989742022,TRAILER_CONTAINER40,BTS,2022-03-10,JAWA TENGAH-JAWA TENGAH,5
VE594616632022,TRAILER_CONTAINER40,PAD,2022-03-17,JAWA TENGAH-JAWA TENGAH,1
VE592449942022,TRAILER_CONTAINER40,PAD,2022-02-22,JAWA TENGAH-JAWA TENGAH,1
VE594616622022,TRAILER_CONTAINER40,PAD,2022-03-17,JAWA TENGAH-JAWA TENGAH,1
VE594242742022,TRAILER_CONTAINER40,RJT,2022-03-14,JAWA TENGAH-JAWA TENGAH,2
VE592450062022,TRAILER_CONTAINER40,PAD,2022-02-22,JAWA TENGAH-JAWA TENGAH,7
VE592450022022,TRAILER_CONTAINER40,PAD,2022-02-22,JAWA TENGAH-JAWA TENGAH,7
VE592599392022,TRAILER_CONTAINER40,PAD,2022-02-23,JAWA TENGAH-JAWA TENGAH,6
VE592450002022,TRAILER_CONTAINER40,PAD,2022-02-22,JAWA TENGAH-JAWA TENGAH,14
VE594113762022,TRAILER_CONTAINER40,RJT,2022-03-11,JAWA TENGAH-JAWA TENGAH,5
VE594242712022,TRAILER_CONTAINER40,RJT,2022-03-14,JAWA TENGAH-JAWA TENGAH,2
VE594242732022,TRAILER_CONTAINER40,PAD,2022-03-14,JAWA TENGAH-JAWA TENGAH,1
VE594242362022,TRAILER_CONTAINER40,PAD,2022-03-14,JAWA TENGAH-JAWA TENGAH,1
VE592599462022,TRAILER_CONTAINER40,PAD,2022-02-23,JAWA TENGAH-JAWA TENGAH,6
VE592599402022,TRAILER_CONTAINER40,PAD,2022-02-23,JAWA TENGAH-JAWA TENGAH,6
VE592599412022,TRAILER_CONTAINER40,PAD,2022-02-23,JAWA TENGAH-JAWA TENGAH,6
VE593875502022,TRAILER_CONTAINER40,PAD,2022-03-09,JAWA TENGAH-JAWA TENGAH,1
VE593875542022,TRAILER_CONTAINER40,PAD,2022-03-09,JAWA TENGAH-JAWA TENGAH,1
VE593875532022,TRAILER_CONTAINER40,PAD,2022-03-09,JAWA TENGAH-JAWA TENGAH,1
VE593875472022,TRAILER_CONTAINER40,PAD,2022-03-09,JAWA TENGAH-JAWA TENGAH,1
VE595474292022,TRAILER_CONTAINER40,PAD,2022-03-28,JAWA TENGAH-JAWA TENGAH,0
VE592449962022,TRAILER_CONTAINER40,PAD,2022-02-22,JAWA TENGAH-JAWA TENGAH,7
VE592450012022,TRAILER_CONTAINER40,PAD,2022-02-22,JAWA TENGAH-JAWA TENGAH,7
VE594482522022,TRAILER_CONTAINER40,BTS,2022-03-16,JAWA TENGAH-JAWA TENGAH,5
VE594482512022,TRAILER_CONTAINER40,BTS,2022-03-16,JAWA TENGAH-JAWA TENGAH,5
VE594482492022,TRAILER_CONTAINER40,BTS,2022-03-16,JAWA TENGAH-JAWA TENGAH,5
VE594482482022,TRAILER_CONTAINER40,BTS,2022-03-16,JAWA TENGAH-JAWA TENGAH,5
VE594482472022,TRAILER_CONTAINER40,BTS,2022-03-16,JAWA TENGAH-JAWA TENGAH,5
VE594340172022,TRAILER_CONTAINER40,PAD,2022-03-15,JAWA TENGAH-JAWA TENGAH,6
VE595474282022,TRAILER_CONTAINER40,PAD,2022-03-28,JAWA TENGAH-JAWA TENGAH,0
VE594340122022,TRAILER_CONTAINER40,PAD,2022-03-15,JAWA TENGAH-JAWA TENGAH,3
VE594340142022,TRAILER_CONTAINER40,PAD,2022-03-15,JAWA TENGAH-JAWA TENGAH,3
VE594340232022,TRAILER_CONTAINER40,PAD,2022-03-15,JAWA TENGAH-JAWA TENGAH,1
VE595474262022,TRAILER_CONTAINER40,PAD,2022-03-28,JAWA TENGAH-JAWA TENGAH,0
VE593993252022,TRAILER_CONTAINER40,PKA,2022-03-10,JAWA TENGAH-BANTEN,4
VE593993112022,TRAILER_CONTAINER40,PKA,2022-03-10,JAWA TENGAH-BANTEN,4
VE589771532022,TRAILER_CONTAINER40,RJT,2022-01-21,JAWA TENGAH-JAWA BARAT,5
VE589616662022,TRAILER_CONTAINER40,PAD,2022-01-20,JAWA TENGAH-JAWA BARAT,5
VE594113832022,TRAILER_CONTAINER40,BTS,2022-03-11,JAWA TENGAH-JAWA BARAT,4
VE594113852022,TRAILER_CONTAINER40,BTS,2022-03-11,JAWA TENGAH-JAWA BARAT,4
VE595109642022,TRAILER_CONTAINER40,RJT,2022-03-23,JAWA TENGAH-JAWA BARAT,5
VE591084272022,TRAILER_CONTAINER40,PAD,2022-02-07,JAWA TENGAH-JAWA BARAT,2
VE591084252022,TRAILER_CONTAINER40,PAD,2022-02-07,JAWA TENGAH-JAWA BARAT,2
VE595109632022,TRAILER_CONTAINER40,RJT,2022-03-23,JAWA TENGAH-JAWA BARAT,5
VE594952362022,TRAILER_CONTAINER40,PAD,2022-03-22,JAWA TENGAH-JAWA BARAT,6
VE593606782022,TRAILER_CONTAINER40,PAD,2022-03-07,JAWA TENGAH-JAWA TENGAH,1
VE590379412022,TRAILER_CONTAINER40,PAD,2022-01-28,JAWA TENGAH-JAWA TIMUR,4
VE592223242022,TRAILER_CONTAINER40,PAD,2022-02-18,JAWA TENGAH-JAWA TIMUR,4
VE591084292022,TRAILER_CONTAINER40,PAD,2022-02-07,JAWA TENGAH-JAWA TIMUR,3
VE591714042022,TRAILER_CONTAINER40,PAD,2022-02-14,JAWA TENGAH-JAWA TIMUR,7
VE588561982022,TRAILER_CONTAINER40,PAD,2022-01-07,JAWA TENGAH-JAWA TIMUR,4
VE589004202022,TRAILER_CONTAINER40,PAD,2022-01-13,JAWA TENGAH-JAWA TENGAH,4
VE589135342022,TRAILER_CONTAINER40,RJT,2022-01-14,JAWA TENGAH-JAWA TENGAH,6
VE589135332022,TRAILER_CONTAINER40,RJT,2022-01-14,JAWA TENGAH-JAWA TENGAH,6
VE589004212022,TRAILER_CONTAINER40,PAD,2022-01-13,JAWA TENGAH-JAWA TENGAH,4
VE589240262022,TRAILER_CONTAINER40,RJT,2022-01-17,JAWA TENGAH-JAWA TENGAH,3
VE593875372022,TRAILER_CONTAINER40,RJT,2022-03-09,JAWA TENGAH-JAWA TENGAH,5
VE593875362022,TRAILER_CONTAINER40,RJT,2022-03-09,JAWA TENGAH-JAWA TENGAH,4
VE593875332022,TRAILER_CONTAINER40,RJT,2022-03-09,JAWA TENGAH-JAWA TENGAH,4
VE593875342022,TRAILER_CONTAINER40,RJT,2022-03-09,JAWA TENGAH-JAWA TENGAH,4
VE589240252022,TRAILER_CONTAINER40,RJT,2022-01-17,JAWA TENGAH-JAWA TENGAH,3
VE589240282022,TRAILER_CONTAINER40,PAD,2022-01-17,JAWA TENGAH-JAWA TENGAH,4
VE589240272022,TRAILER_CONTAINER40,PAD,2022-01-17,JAWA TENGAH-JAWA TENGAH,4
VE588911312022,TRAILER_CONTAINER40,RJT,2022-01-12,JAWA TENGAH-JAWA TENGAH,5
VE588911342022,TRAILER_CONTAINER40,RJT,2022-01-12,JAWA TENGAH-JAWA TENGAH,5
VE588911282022,TRAILER_CONTAINER40,RJT,2022-01-12,JAWA TENGAH-JAWA TENGAH,5
VE593875382022,TRAILER_CONTAINER40,PAD,2022-03-09,JAWA TENGAH-JAWA TENGAH,1
VE593875412022,TRAILER_CONTAINER40,PAD,2022-03-09,JAWA TENGAH-JAWA TENGAH,7
VE589973112022,TRAILER_CONTAINER40,RJT,2022-01-25,JAWA TENGAH-JAWA TENGAH,2
VE593073712022,TRAILER_CONTAINER40,BTS,2022-03-01,JAWA TENGAH-JAWA TENGAH,0
VE593073702022,TRAILER_CONTAINER40,BTS,2022-03-01,JAWA TENGAH-JAWA TENGAH,0
VE589972722022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,0
VE588779402022,TRAILER_CONTAINER20,RJT,2022-01-11,JAWA TENGAH-JAWA TENGAH,2
VE591195082022,TRAILER_CONTAINER40,PAD,2022-02-08,JAWA TENGAH-JAWA TENGAH,2
VE591195032022,TRAILER_CONTAINER40,PAD,2022-02-08,JAWA TENGAH-JAWA TENGAH,2
VE591194992022,TRAILER_CONTAINER40,PAD,2022-02-08,JAWA TENGAH-JAWA TENGAH,2
VE591830372022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,6
VE591830382022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,6
VE589972672022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,3
VE589972622022,TRAILER_CONTAINER40,PAD,2022-01-25,JAWA TENGAH-JAWA TENGAH,0
VE589974372022,TRAILER_CONTAINER40,BTS,2022-01-25,JAWA TENGAH-JAWA TENGAH,1
VE589974362022,TRAILER_CONTAINER40,BTS,2022-01-25,JAWA TENGAH-JAWA TENGAH,1
VE589974352022,TRAILER_CONTAINER40,BTS,2022-01-25,JAWA TENGAH-JAWA TENGAH,1
VE589494742022,TRAILER_CONTAINER40,PAD,2022-01-19,JAWA TENGAH-JAWA TENGAH,2
VE589494752022,TRAILER_CONTAINER40,PAD,2022-01-19,JAWA TENGAH-JAWA TENGAH,2
VE588779432022,TRAILER_CONTAINER20,RJT,2022-01-11,JAWA TENGAH-JAWA TENGAH,1
VE588779352022,TRAILER_CONTAINER20,RJT,2022-01-11,JAWA TENGAH-JAWA TENGAH,1
VE589494722022,TRAILER_CONTAINER40,PAD,2022-01-19,JAWA TENGAH-JAWA TENGAH,2
VE588778842022,TRAILER_CONTAINER20,RJT,2022-01-11,JAWA TENGAH-JAWA TENGAH,1
VE589973102022,TRAILER_CONTAINER40,RJT,2022-01-25,JAWA TENGAH-JAWA TENGAH,2
VE589973092022,TRAILER_CONTAINER40,RJT,2022-01-25,JAWA TENGAH-JAWA TENGAH,2
VE589972862022,TRAILER_CONTAINER40,RJT,2022-01-25,JAWA TENGAH-JAWA TENGAH,2
VE591830362022,TRAILER_CONTAINER40,PAD,2022-02-15,JAWA TENGAH-JAWA TENGAH,1
VE592847642022,TRAILER_CONTAINER40,RJT,2022-02-25,JAWA TENGAH-JAWA TENGAH,5
VE592847622022,TRAILER_CONTAINER40,BTS,2022-02-25,JAWA TENGAH-JAWA TENGAH,4
VE594844922022,TRAILER_CONTAINER40,PAD,2022-03-21,JAWA TENGAH-JAWA TENGAH,0
VE594844912022,TRAILER_CONTAINER40,PAD,2022-03-21,JAWA TENGAH-JAWA TENGAH,0
VE592346242022,TRAILER_CONTAINER40,PAD,2022-02-21,JAWA TENGAH-JAWA TENGAH,2
VE590854442022,TRAILER_CONTAINER20,MSM,2022-02-03,JAWA TENGAH-JAWA TENGAH,0
VE592223302022,TRAILER_CONTAINER40,PAD,2022-02-18,JAWA TENGAH-JAWA TENGAH,3
VE593606792022,TRAILER_CONTAINER40,PAD,2022-03-07,JAWA TENGAH-JAWA TENGAH,3
VE596393142022,TRAILER_CONTAINER40,PAD,2022-04-06,JAWA TENGAH-JAWA TENGAH,5
