OrdNo,equipment_description,Carrier_Name,Created_Date,Route,LTDeliv
VE610339762022,TRAILER_CONTAINER20,ATM,2022-09-19,SUMATERA UTARA-SUMATERA UTARA,0
VE611679262022,TRAILER_CONTAINER20,ATM,2022-10-05,SUMATERA UTARA-SUMATERA UTARA,4
VE610948582022,TRAILER_CONTAINER20,ATM,2022-09-26,SUMATERA UTARA-SUMATERA UTARA,0
VE588549962022,TRAILER_CONTAINER20,ATM,2022-01-07,SUMATERA UTARA-SUMATERA UTARA,1
VE597362882022,TRAILER_CONTAINER20,BII,2022-04-19,SUMATERA UTARA-SUMATERA UTARA,9
VE600442872022,TRAILER20_COMBO,BII,2022-05-24,SUMATERA UTARA-SUMATERA UTARA,0
VE600951022022,TRAILER_CONTAINER20,BII,2022-05-30,SUMATERA UTARA-SUMATERA UTARA,0
VE601046682022,TRAILER_CONTAINER20,BII,2022-05-31,SUMATERA UTARA-SUMATERA UTARA,0
VE601046652022,TRAILER_CONTAINER20,BII,2022-05-31,SUMATERA UTARA-SUMATERA UTARA,0
VE601046702022,TRAILER_CONTAINER20,BII,2022-05-31,SUMATERA UTARA-SUMATERA UTARA,0
VE601046692022,TRAILER_CONTAINER20,BII,2022-05-31,SUMATERA UTARA-SUMATERA UTARA,0
VE603384982022,TRAILER_CONTAINER20,GTT,2022-06-27,SUMATERA UTARA-SUMATERA UTARA,0
VE602577632022,TRAILER_CONTAINER20,ATM,2022-06-17,SUMATERA UTARA-SUMATERA UTARA,0
VE601286922022,TRAILER_CONTAINER20,BII,2022-06-02,SUMATERA UTARA-SUMATERA UTARA,0
VE605168042022,TRAILER_CONTAINER20,BII,2022-07-18,SUMATERA UTARA-SUMATERA UTARA,0
VE608352232022,TRAILER_CONTAINER20,BII,2022-08-25,SUMATERA UTARA-SUMATERA UTARA,0
VE608352192022,TRAILER_CONTAINER20,BII,2022-08-25,SUMATERA UTARA-SUMATERA UTARA,0
VE608352212022,TRAILER_CONTAINER20,BII,2022-08-25,SUMATERA UTARA-SUMATERA UTARA,0
VE588364292022,TRAILER_CONTAINER20,SKB,2022-01-05,JABODETABEK-BANTEN,0
VE590262712022,TRAILER_CONTAINER20,JI,2022-01-27,JABODETABEK-BANTEN,0
VE590262592022,TRAILER_CONTAINER20,JI,2022-01-27,JABODETABEK-BANTEN,0
VE590262572022,TRAILER_CONTAINER20,JI,2022-01-27,JABODETABEK-BANTEN,0
VE595140312022,TRAILER_CONTAINER20,FTJ,2022-03-23,JABODETABEK-BANTEN,0
VE602143322022,TRAILER_CONTAINER20,JI,2022-06-13,JABODETABEK-BANTEN,0
VE602143042022,TRAILER_CONTAINER20,JI,2022-06-13,JABODETABEK-BANTEN,0
VE602410752022,TRAILER_CONTAINER20,JI,2022-06-15,JABODETABEK-BANTEN,0
VE603469852022,TRAILER_CONTAINER20,JI,2022-06-28,JABODETABEK-BANTEN,15
VE597587642022,TRAILER_CONTAINER20,SKB,2022-04-20,JABODETABEK-BANTEN,0
VE599241862022,TRAILER_CONTAINER20,JI,2022-05-10,JABODETABEK-BANTEN,0
VE599233922022,TRAILER_CONTAINER20,JI,2022-05-10,JABODETABEK-BANTEN,0
VE597587702022,TRAILER_CONTAINER20,SKB,2022-04-20,JABODETABEK-BANTEN,0
VE603472862022,TRAILER_CONTAINER20,JI,2022-06-28,JABODETABEK-BANTEN,9
VE603473102022,TRAILER_CONTAINER20,JI,2022-06-28,JABODETABEK-BANTEN,9
VE588914872022,TRAILER_CONTAINER20,SKB,2022-01-12,JABODETABEK-JAWA BARAT,0
VE603597102022,TRAILER_CONTAINER20,FTJ,2022-06-29,JABODETABEK-BANTEN,0
VE591603542022,TRAILER_CONTAINER20,SKB,2022-02-11,JABODETABEK-BANTEN,0
VE593709732022,TRAILER_CONTAINER20,KTN,2022-03-08,JABODETABEK-BANTEN,0
VE588927382022,TRAILER_CONTAINER20,JI,2022-01-12,JABODETABEK-JAWA BARAT,0
VE589527492022,TRAILER_CONTAINER20,PJM,2022-01-19,JABODETABEK-JAWA BARAT,0
VE591746282022,TRAILER_CONTAINER20,JI,2022-02-14,JABODETABEK-JAWA BARAT,0
VE591746372022,TRAILER_CONTAINER20,JI,2022-02-14,JABODETABEK-JAWA BARAT,0
VE602142842022,TRAILER_CONTAINER20,JI,2022-06-13,JABODETABEK-JAWA BARAT,0
VE602108852022,TRAILER_CONTAINER20,PJM,2022-06-13,JABODETABEK-JAWA BARAT,0
VE588654722022,TRAILER_CONTAINER20,FTJ,2022-01-10,JABODETABEK-JAWA BARAT,0
VE588188142022,TRAILER_CONTAINER20,JI,2022-01-04,JABODETABEK-JAWA BARAT,0
VE589527662022,TRAILER_CONTAINER20,PJM,2022-01-19,JABODETABEK-JAWA BARAT,0
VE588927242022,TRAILER_CONTAINER20,JI,2022-01-12,JABODETABEK-JAWA BARAT,0
VE588924432022,TRAILER_CONTAINER20,PJM,2022-01-12,JABODETABEK-JAWA BARAT,0
VE589520542022,TRAILER_CONTAINER20,FTJ,2022-01-19,JABODETABEK-JAWA BARAT,0
VE590140822022,TRAILER_CONTAINER20,SKB,2022-01-26,JABODETABEK-JAWA BARAT,0
VE589520162022,TRAILER_CONTAINER20,FTJ,2022-01-19,JABODETABEK-JAWA BARAT,0
VE588927402022,TRAILER_CONTAINER20,JI,2022-01-12,JABODETABEK-JAWA BARAT,0
VE593734982022,TRAILER_CONTAINER20,KTN,2022-03-08,JABODETABEK-JAWA BARAT,0
VE588927152022,TRAILER_CONTAINER20,JI,2022-01-12,JABODETABEK-JAWA BARAT,0
VE593538082022,TRAILER_CONTAINER20,JI,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593533562022,TRAILER_CONTAINER20,PJM,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593533512022,TRAILER_CONTAINER20,PJM,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593531082022,TRAILER_CONTAINER20,JI,2022-03-04,JABODETABEK-JAWA BARAT,0
VE593529722022,TRAILER_CONTAINER20,JI,2022-03-04,JABODETABEK-JAWA BARAT,0
VE597579412022,TRAILER_CONTAINER20,FTJ,2022-04-20,JABODETABEK-JAWA BARAT,0
VE603464432022,TRAILER_CONTAINER20,SKB,2022-06-28,JABODETABEK-JAWA BARAT,9
VE603441472022,TRAILER_CONTAINER20,KTN,2022-06-28,JABODETABEK-JAWA BARAT,10
VE603441462022,TRAILER_CONTAINER20,KTN,2022-06-28,JABODETABEK-JAWA BARAT,10
VE603441452022,TRAILER_CONTAINER20,KTN,2022-06-28,JABODETABEK-JAWA BARAT,10
VE603441432022,TRAILER_CONTAINER20,KTN,2022-06-28,JABODETABEK-JAWA BARAT,10
VE603441392022,TRAILER_CONTAINER20,KTN,2022-06-28,JABODETABEK-JAWA BARAT,10
VE603464502022,TRAILER_CONTAINER20,SKB,2022-06-28,JABODETABEK-JAWA BARAT,9
VE603464462022,TRAILER_CONTAINER20,SKB,2022-06-28,JABODETABEK-JAWA BARAT,9
VE589391542022,TRAILER_CONTAINER20,FTJ,2022-01-18,JABODETABEK-BANTEN,0
VE590285542022,TRAILER_CONTAINER20,SKB,2022-01-27,JABODETABEK-BANTEN,0
VE602390622022,TRAILER_CONTAINER20,JI,2022-06-15,JABODETABEK-BANTEN,0
VE602394422022,TRAILER_CONTAINER20,ACS,2022-06-15,JABODETABEK-JAWA BARAT,0
VE588336762022,TRAILER_CONTAINER20,PJM,2022-01-05,JABODETABEK-JABODETABEK,0
VE595140362022,TRAILER_CONTAINER20,SKB,2022-03-23,JABODETABEK-BANTEN,0
VE595140482022,TRAILER_CONTAINER20,SKB,2022-03-23,JABODETABEK-BANTEN,0
VE591747502022,TRAILER_CONTAINER20,JI,2022-02-14,JABODETABEK-BANTEN,0
VE591841222022,TRAILER_CONTAINER20,PTL,2022-02-15,JABODETABEK-BANTEN,0
VE591742772022,TRAILER_CONTAINER20,JI,2022-02-14,JABODETABEK-BANTEN,0
VE591742712022,TRAILER_CONTAINER20,JI,2022-02-14,JABODETABEK-BANTEN,0
VE591834422022,TRAILER_CONTAINER20,SKB,2022-02-15,JABODETABEK-BANTEN,0
VE591834452022,TRAILER_CONTAINER20,SKB,2022-02-15,JABODETABEK-BANTEN,0
VE591772612022,TRAILER_CONTAINER20,SKB,2022-02-14,JABODETABEK-BANTEN,0
VE602146302022,TRAILER_CONTAINER20,JMI,2022-06-13,JABODETABEK-BANTEN,0
VE602097932022,TRAILER_CONTAINER20,ACS,2022-06-13,JABODETABEK-BANTEN,0
VE588920222022,TRAILER_CONTAINER20,PJM,2022-01-12,JABODETABEK-BANTEN,0
VE594167182022,TRAILER_CONTAINER20,SKB,2022-03-11,JABODETABEK-BANTEN,0
